,adm1_area,cartodb_id,gid_1,iso,wdpa_area
118,85506290.2853941,1646,LCA.5_1,LCA,44440909.9497321
119,1138959589.39725,1749,MDA.17_1,MDA,675624.295710674
120,5335938132.38066,835,EGY.16_1,EGY,0.0
121,17337212502.5281,34,AFG.34_1,AFG,0.0
122,2456070045.28143,1119,HND.12_1,HND,699478151.094934
123,10620081.9560041,312,BMU.2_1,BMU,51600.1105137192
124,115171980.310697,622,CPV.14_1,CPV,6595934.58232073
125,1057658613.05239,895,ETH.5_1,ETH,139631240.19926
126,84544217339.8761,767,DZA.20_1,DZA,0.0
127,203881053.809587,1858,MKD.51_1,MKD,10723725.3873182
128,31458670288.3416,2103,NGA.7_1,NGA,321257473.527151
129,9806632530.07809,2102,NGA.6_1,NGA,931662570.191043
130,28912831342.2603,2227,OMN.5_1,OMN,2968250.36441057
131,7416380847.37081,3121,TUR.2_1,TUR,0.0
132,452219703.927883,2177,NOR.12_1,NOR,40587378.7805088
133,12297913041.2053,3143,TUR.24_1,TUR,0.0
134,6606764812.8091,3154,TUR.35_1,TUR,0.0
135,199924448717.451,3387,USA.28_1,USA,2072116068.62676
136,11632892.9517692,3457,VGB.2_1,VGB,1830223.5580721
137,770289025.877048,3070,TLS.8_1,TLS,46793131.7773482
138,370020741.975446,3069,TLS.7_1,TLS,69601108.6912207
139,1204090234.72953,3068,TLS.6_1,TLS,111267861.503654
140,379876082312.554,3386,USA.27_1,USA,32273986872.3227
141,887312305.793726,2558,QAT.6_1,QAT,171632952.308825
142,123614960885.339,3384,USA.25_1,USA,5090631710.46788
143,5854340291.93328,2557,QAT.5_1,QAT,779036887.57675
144,1234253949.6884,3525,VNM.62_1,VNM,156690576.205191
145,87930328.7448623,708,DMA.8_1,DMA,30251761.3284611
146,2154560455.3373,2998,THA.27_1,THA,0.0
147,69247439888.5028,1964,MNG.22_1,MNG,16069220769.1653
148,1261440009.83573,1129,HRV.4_1,HRV,224841965.444876
149,28660504.1824047,3537,WSM.2_1,WSM,0.0
150,370140647.229838,268,BHS.5_1,BHS,0.0
151,551999944.312883,3072,TLS.10_1,TLS,84097463.8865612
152,6291344069.11762,2980,THA.9_1,THA,1614352600.08927
153,305806068.516576,2939,TCA.2_1,TCA,235942093.819566
154,1503663263.23684,3066,TLS.4_1,TLS,168394543.626085
155,12709530795.9137,2979,THA.8_1,THA,3270343352.17405
156,258802873.106833,2940,TCA.3_1,TCA,139523255.855938
157,133793424778.882,3059,TKM.3_1,TKM,3931970710.10863
158,35069418.5342457,1648,LCA.7_1,LCA,10025364.8617472
159,331737329047.376,340,BRA.10_1,BRA,67037102860.0282
160,56622771140.1671,345,BRA.15_1,BRA,565815074.698601
161,7022475180.71405,669,CZE.4_1,CZE,672089663.932276
162,657323491.154088,1183,IDN.7_1,IDN,8388875.06683941
163,23818008034.9651,2955,TCD.12_1,TCD,0.0
164,3926160135.19567,2287,PHL.7_1,PHL,0.0
165,48599317361.7983,1282,IRN.5_1,IRN,5863494287.02147
166,20476864726.9922,1286,IRN.9_1,IRN,1483483038.23959
167,183351270638.307,1290,IRN.13_1,IRN,23521770973.6955
168,22833568634.5362,1291,IRN.14_1,IRN,1556608777.16834
169,20020334884.7357,1586,LAO.8_1,LAO,416498826.675554
170,746904233.703445,2027,MWI.16_1,MWI,100379846.996482
171,8526877.96645116,3340,UMI.9_1,UMI,8526877.96645116
172,15094322368.7633,3423,UZB.14_1,UZB,6752695057.91457
173,2608587808.48015,878,EST.4_1,EST,344538850.760314
174,3430254002.41786,249,BGR.19_1,BGR,1392738247.27757
175,23922599874.195,40,AGO.6_1,AGO,0.0
176,282222787.17209,122,ARM.4_1,ARM,1161844.40224359
177,3499972026.44251,78,ALB.10_1,ALB,498607396.11714
178,5453525.693798,321,BMU.11_1,BMU,263913.59210113
179,2544858889.83633,1271,IRL.20_1,IRL,211857959.68756
180,273215722.981398,2043,MYS.4_1,MYS,1283869.74045951
181,9852316234.47807,224,BGD.1_1,BGD,96725953.4189401
182,3432051510.05208,3290,UGA.44_1,UGA,563561891.010705
183,12375445377.2476,230,BGD.7_1,BGD,85246597.3573823
184,985272256174.779,153,AUS.8_1,AUS,
185,52266560613.5206,558,COD.23_1,COD,1303730009.75529
186,108721454857.181,556,COD.21_1,COD,29740498949.01
187,67023791701.4854,568,COG.7_1,COG,6762434645.42322
188,64434292933.4835,557,COD.22_1,COD,11290126110.5326
189,5400727867.83378,1278,IRN.1_1,IRN,413473791.588415
190,27693765550.9147,2128,NGA.32_1,NGA,2519245188.84089
191,16064998919.2523,480,CHL.16_1,CHL,550023072.586839
192,7803813368.59479,400,BWA.8_1,BWA,1902501.44370769
193,14784056992.221,477,CHL.13_1,CHL,731255038.279379
194,1077959.62727313,2190,NRU.1_1,NRU,0.0
195,117543893.090987,2472,PRI.57_1,PRI,4582167.78099154
196,1235963894.73865,1335,ISR.1_1,ISR,13581923.3280666
197,36799098397.8976,3222,TZA.6_1,TZA,2221870056.06178
198,2537510583.60299,1489,KEN.29_1,KEN,331443373.596215
199,12893675.5424944,1364,JAM.3_1,JAM,1290645.04643398
200,2899101930.56812,830,EGY.11_1,EGY,63653685.2478508
201,959060.464558729,2192,NRU.3_1,NRU,0.0
202,18336477587.0447,2618,RUS.13_1,RUS,1724097927.76365
203,62847285729.8027,1959,MNG.17_1,MNG,3559331251.42993
204,11692480.7614526,1385,JEY.10_1,JEY,1937651.76153021
