cartodb_id,gid_2,adm2_area,wdpa_area
9426,CHN.26.7_1,16221634121.6966,30527847.8277193
7434,BRA.24.271_1,127142690.241148,339825.520890247
21911,LTU.3.3_1,96941286.1849846,97726602.0704743
7464,BRA.25.7_1,3206550.95156983,16924.2771704841
9242,CHN.10.6_1,6392053484.0423,0.0
9265,CHN.12.5_1,6257209339.99796,0.0
9434,CHN.26.14_1,2531821681.95474,0.0
9433,CHN.26.15_1,2862293355.98648,0.0
33860,RUS.21.13_1,752330477.233665,32136163.7389871
9300,CHN.14.5_1,27603625411.2447,0.0
33851,RUS.21.4_1,1137109102.14518,0.0
33912,RUS.24.6_1,69652561607.5749,3758457005.16867
9301,CHN.14.6_1,8133226983.60618,0.0
9303,CHN.14.8_1,5066383971.93157,0.0
9455,CHN.28.13_1,94776695377.1016,0.0
9470,CHN.30.6_1,32223602762.2254,7771224.9226018
9474,CHN.30.10_1,14550230048.2761,6724100028.4805
37042,SWE.6.8_1,11778217322.5365,1400642544.66474
9309,CHN.14.14_1,11309632392.65,0.0
11334,DEU.2.8_1,696810847.761426,502214421.486673
9738,COD.17.8_1,15972533223.4651,4377115532.33689
9744,COD.18.1_1,24382926263.6444,2539403498.54231
11365,DEU.2.38_1,761163458.146684,173620044.062473
11366,DEU.2.39_1,953220427.842208,553593755.433883
9495,CIV.2.3_1,12537142503.1587,5360961570.01528
11367,DEU.2.41_1,890406862.599847,202470039.713387
11371,DEU.2.44_1,1061207573.49417,253653591.500907
11376,DEU.2.49_1,801283043.03417,188143045.771174
12629,DZA.24.10_1,350622173.242395,0.0
8277,BRA.27.101_1,6518023294.68772,1989343454.75862
11108,CUB.9.8_1,91153115.454678,990201.232610983
11463,DEU.7.19_1,354951143.880367,199396851.382395
8834,CAN.11.28_1,2268134312.32957,49494561.780192
9544,CMR.4.1_1,4800251749.31255,0.0
5333,BRA.14.129_1,14442756742.331,9533496774.4681
9347,CHN.18.5_1,14761159788.4855,0.0
9573,CMR.10.1_1,20018430387.2054,1846289782.97557
9652,COD.7.6_1,15905564785.7695,4276295601.22922
9356,CHN.19.1_1,240426935452.699,70876960.071184
11357,DEU.2.29_1,562723626.20474,182460286.806961
8520,BTN.18.1_1,779705974.178248,594327745.430147
8563,BWA.6.1_1,14085687.3193182,0.0
21900,LTU.1.3_1,1614246087.43555,371062055.116708
9645,COD.9.7_1,19751239233.2414,0.0
8533,BTN.18.14_1,1109711131.71001,1034687129.61252
8527,BTN.18.8_1,630094791.394049,526668532.453455
9359,CHN.19.4_1,84716703300.9791,0.0
9360,CHN.19.5_1,19473582755.8698,0.0
8892,CAN.11.86_1,14061815624.81,804078616.414096
9623,COD.5.7_1,9367467650.45101,816748727.318343
8894,CAN.11.88_1,2784818639.33637,30624275.2663383
8895,CAN.11.89_1,1284045712.9688,6017151.39176834
9364,CHN.19.9_1,54591513662.931,0.0
8630,CAF.17.1_1,40298918542.1701,10171159988.4611
9027,CHE.18.6_1,515506559.37193,104197825.8979
9042,CHE.20.5_1,136722719.703272,5406254.05771708
11304,DEU.1.22_1,859998176.692136,316150670.710684
9043,CHE.20.6_1,112515788.778932,1617828.63740565
9044,CHE.20.7_1,152670941.616384,1045662.45313936
9046,CHE.20.9_1,111719390.635448,262464.326188475
9047,CHE.21.1_1,212483234.768359,9414102.25954688
9048,CHE.21.2_1,372655828.979058,71269561.9727388
9049,CHE.21.3_1,495666483.380683,52645753.0126619
9050,CHE.21.4_1,584588848.549408,23869028.8474087
9401,CHN.23.11_1,5273479929.71412,0.0
9721,COD.16.2_1,50654856.1361132,0.0
9734,COD.17.4_1,16482354175.9746,0.0
9424,CHN.26.5_1,147853621213.429,7179907012.2982
12726,DZA.27.15_1,253808501.156931,0.0
6936,BRA.21.305_1,1567757796.6235,70810657.1786256
21443,LAO.14.10_1,2919715711.10323,0.0
21469,LAO.17.2_1,3313079731.70879,1125289791.0317
11100,CUB.8.1_1,2516549119.1986,1194768356.74724
21711,LKA.10.1_1,91401039.6786996,1139081.89124619
6953,BRA.21.322_1,2708661157.9525,9165019.14192868
11769,DNK.4.13_1,582620127.508844,73403652.7421305
11773,DNK.4.17_1,635641407.254671,120013254.957554
11759,DNK.4.3_1,901816676.249182,115214558.618782
33938,RUS.26.10_1,21014649691.4805,1655656778.6593
21676,LKA.7.4_1,180877979.794059,4976360.61063741
21689,LKA.8.4_1,327903862.73734,54337813.1002246
17112,IDN.24.7_1,5316097085.42938,522823887.300786
7252,BRA.24.88_1,432093992.101507,42825527.26062
15165,GNQ.5.1_1,307620146.155351,0.0
13285,DZA.44.1_1,87812203378.0629,810063988.972181
21824,LKA.18.3_1,729195299.604623,356189965.138214
15175,GNQ.6.5_1,1529096276.99876,337811480.894876
7298,BRA.24.134_1,327604465.536453,107299298.194085
17715,IND.26.18_1,8345997816.37234,142896146.000256
8025,BRA.25.569_1,421300474.721291,307759334.500079
8028,BRA.25.571_1,175148927.8687,73756955.5113018
8080,BRA.25.623_1,717623004.880327,539006355.926652
8120,BRA.26.19_1,630836321.679467,0.0
8104,BRA.26.3_1,171748820.41645,1738201.7609283
14135,EST.1.13_1,263297807.0524,22160851.0864624
9491,CHN.31.11_1,1233391776.58236,0.0
14018,EGY.27.16_1,13702384.3978634,0.0
14107,ESP.10.3_1,10794540548.7737,4696339669.92618
14108,ESP.11.1_1,21753997438.7997,5514885663.91424
17725,IND.26.28_1,6762312042.35063,0.0
14106,ESP.10.2_1,6625950877.26095,3024789417.21627
14109,ESP.11.2_1,19846363789.2133,7260388334.48723
34084,RUS.31.39_1,1916600.39049155,0.0
12720,DZA.27.9_1,198899467.25433,0.0
14256,EST.10.13_1,122315786.563461,18362969.666171
14246,EST.10.3_1,149602971.497084,9848574.8612878
14280,EST.12.13_1,11868665.6648682,8037665.14500574
14281,EST.12.14_1,115651606.898133,22240139.3121918
14282,EST.12.15_1,126095231.333495,20912623.4347316
14283,EST.12.16_1,179770056.191623,27967566.2953959
9505,CIV.6.4_1,4972531050.89346,336177910.631468
27681,PHL.12.29_1,242051976.238669,242051976.238669
36143,SLV.3.11_1,155746811.254247,139693522.041798
12947,DZA.34.2_1,53781335.9075851,0.0
14290,EST.13.7_1,231781820.178081,110304029.913165
34343,RUS.38.32_1,1259798.99483639,0.0
13003,DZA.35.29_1,157012065.982411,0.0
